item_id,prefix,good_continuation,bad_continuation,log_freq,log_freq_alter
randomseq_0,musculus sphincter ductus pancreatici eyeless landlubber infiltrator strike dumb hear European water ouzel Sixtus IV,penniless,goodbye,8.218247926685745,8.218247926685745
randomseq_1,grain merchant District of Columbia get well alternating discretionary one-piece topaz liniment Powys,soothed,hindering,6.75343791859778,6.75343791859778
randomseq_2,interrogative lather crankshaft Oslo paper chain partnership certificate alcohol group,frill,epidemiologists,5.966146739123692,5.966146739123692
randomseq_3,hoya breadstuff water glass fashionably cackle relinquishment chatter four-petaled irony hyperkalemia Heterobasidiomycetes Bristol Channel Donkin,loving,suggests,10.44380401506915,10.440916158096654
randomseq_4,Pittidae radiator cap service playbill opaque gem industrial process actinometer biennially unpaid old boy tile roof get on,categorical,testators,5.736572297479192,5.736572297479192
randomseq_5,manure tickle lawn bowling homecourt advantage eight-spot treasure house effluvium insecticide plundering apostrophize palingenetic glass cutter Monodon trapshooter,superiors,thoroughness,8.09712193091871,8.097730573664219
randomseq_6,infamy Bordeaux mixture lay up croupy fastness contester rope-a-dope mole,involve,furtherance,10.50344979336838,10.501554526845805
randomseq_7,disa arms manufacturer Walker Freemason quarterback seduction eagle adience trusteeship celluloid venae profundae clitoridis buttoned-up alalia pipe rat sacrifice bull acknowledged beefsteak begonia,quarreled,spirally,6.964135612418245,6.964135612418245
randomseq_8,self colorist ursinia separated treasure trove tulip tree nip arduous retention grid metal black mamba,controllable,although,10.66349867334958,10.66391947990167
randomseq_9,gratifying ciliary veins fire code Leitneriaceae carry prismatic biohazard way,photons,seethe,5.564520407322694,5.564520407322694
randomseq_10,uproot impress bandsaw capacity genus Calanthe gargle nasality mountain fern eagerly monsoon Four Horsemen lesser knapweed handlebar shortness ascomycetous perpendicularity prestissimo braky humorless,modulate,tacitness,6.030685260261263,6.030685260261263
randomseq_11,unappetizingness yell lemon grove anti-TNF compound Thlaspi zoo keeper Cambodian monetary unit countermine,sacredly,parcelled,7.164720378771857,7.164720378771857
randomseq_12,unmerited pretermission Sula clinid cheek muscle oenomel flying carpet conic projection Enki pseudo Sertularia aground,misspent,marked,10.184749057184986,10.18289800930364
randomseq_13,lacrimal bone bluethroat pikeblenny abrasion sorrowful symposiast heartrot Taurus muskellunge amatory resulting trust urocele pieta condenser luck output program Illinois River wiry-stemmed,foulling,imitator,7.243512974665482,7.243512974665482
randomseq_14,Panax depopulate slicer president keratinization electrification magenta pink dedication crematory,washer,sightlessly,9.035272443893536,9.033603193476129
randomseq_15,dull radioactive common wormwood Selkirk Mountains violence Menninger perennation olfactory nerve soulless suspect western red-backed salamander rummage Communism Peak polyhedral social worker selling point thirst,benevolent,stew,6.18826412308259,6.18826412308259
randomseq_16,alligator weed oppositely rebuff proverbial Schmidt telescope Bartlett doubtfully undercharge Scotch long-horned grasshopper nasal canthus Krebs gruesomely,registers,replying,9.249849505070896,9.251482315307358
randomseq_17,pigsticking packsaddle Ceratopsia dash-pot fire cravat pickelhaube twinjet,directions,display,9.31928445896536,9.31874624581997
randomseq_18,tapdance rake ferrimagnetism false nettle answerable scup valentine ambivalence fossil arista meddler cow Hegel disenchantment compote leap year rattail cactus amplitude modulation,specialised,cars,10.456193810265846,10.457861052229603
randomseq_19,hyperextension taxi carrying cost academician stream basket-shaped northern bobwhite Tobit double sensorineural zymase rose martial,logistic,pyjamas,6.118097198041348,6.118097198041348
randomseq_20,lysergic acid diethylamide citify probation officer fritter Orites on downswing,operators,facts,10.648728956654208,10.650033309820769
randomseq_21,stall deep space outside curatorial LDL cholesterol colonel radioactive dating bacitracin,association,decision,10.161959636903632,10.162885884509508
randomseq_22,bird feeder Garbo Dead Sea scrolls sea spray fight ally professedly division Eubacteria penicillinase-resistant antibiotic dowel astrodynamics Impressionism sawdust saloon strand,fiver,renunciations,6.306275286948016,6.306275286948016
randomseq_23,stirrup pine hyacinth dormant surfbird arroyo willow sienna ampere white-out rectification,expertise,thereby,7.869783902530146,7.870165946469845
randomseq_24,pyx assured extremely binder eighty-two Rama Southern Tai Geophilus deadpan,flagged,affidavit,5.834810737062605,5.834810737062605
randomseq_25,paraphrase acidophilus haphazard skip gaze vivification step on derv rubbish nervousness penumbral inwrought cockateel pan independence Scarabaeidae suicide squeeze play bachelorhood jacklight,celibacy,dichotomies,5.60947179518496,5.60947179518496
randomseq_26,Department of Energy insolation carbomycin lateral condyle Houyhnhnm otherness mold unbalance bother declivitous whistle oblique bandage Seeger,single,evidential,9.97878053657156,9.977434797488211
randomseq_27,carapace Mahayanism slip insalubrious unreal alter soapberry cycling,patted,silly,7.928045600874777,7.928045600874777
randomseq_28,melancholy outpoint andromeda cowl stand articular muscle tunic,sideline,decoders,5.886104031450156,5.886104031450156
randomseq_29,alike tularemia Celtic ratline eelpout prominence habited benighted,narrow,constitutionalism,8.92757950384347,8.928375259853631
randomseq_30,Singapore baseball play genus Calosoma committee blue Chenin blanc cervical artery traffic fall rubricate fax inferior court crew moor open interval digital-analog converter prune cake Hillel buckle,toughy,uncontroversial,8.39773375137891,8.39795910349254
randomseq_31,endocrine gland Antilocapridae mismatched open caliche haltingly L-plate,plain,rusher,8.506940814951886,8.506132244056813
randomseq_32,gateleg table Emetrol unframed scrawler eastbound lodgment enumeration wardership nitpicker,brave,seized,7.85670679309584,7.85670679309584
randomseq_33,logwood methocarbamol disposition flyweight one-on-one cosh Pilate silver lime absentee ballot Batidaceae watering cart temperature,reserves,fashionable,9.008346579384709,9.00859131751613
randomseq_34,Grace scrappiness Beaufort Sea beat generation unwarrantably prorate harpulla Melanitta macrencephaly gentianella Micah augmentative pavis conceive probe windward,rung,unseats,9.48531707193041,9.484253080341963
randomseq_35,Oleandraceae Rhyniaceae sour hierarchical classification system vertical Carew overhaul anonymously majolica post-haste hop surface-to-air missile,offence,bishopship,8.94389780251682,8.94324493313279
randomseq_36,Admiralty Island rock slurp wound trigeminal neuralgia pesantran dogma mission impossible Inchon bracket wayfaring tree reek unintentionally pelican cymbalist salient tanning pronominal phrase chili sauce,reproduction,accountancy,8.0106915391303,8.0106915391303
randomseq_37,Babar banderilla municipal blue moon fork Guatemalan encouragement probative lighterman Albanian tongue depressor super heavyweight Holy Innocents' Day,imbalances,released,9.49363784611014,9.493939118990328
randomseq_38,besieger mass-action principle gabbro Tour de France stenographic anticipator whipsaw sportively,hopeless,actively,10.427416945679097,10.42877805371264
randomseq_39,mold best seller supervention augur Marine Corps Intelligence Activity musicology polemize uninjured Furnariidae photoelectricity Redwood National Park sweet cider tumescence percolate wash loop Acnidosporidia,day,where,11.59130217024752,11.591792096722129
randomseq_40,water cooler conspecific grate pallidum matrix operation coumarone-indene resin colorimeter piggishly quarter rest waterworn Lilliputian Ptolemy chicken Marengo wild sage prison camp polar body,observers,unfailing,9.737728084041152,9.737846105993372
randomseq_41,ephemeris balance harvest Jerusalem cherry bell heather post exchange mail train fox anamorphism sparkling genus Ibero-mesornis bulkhead crash merchant marine spice Hermissenda crassicornis,feasted,cloner,7.007600613951853,7.007600613951853
randomseq_42,pillow solar month coastwise margin gob butternut squash victimize writing mud peoples iron incarnate troop smoulder lanyard reliable African lily Platonism snuff,unkind,cathedrals,7.8636512654486515,7.864419904994565
randomseq_43,blurt out crowd control azo group sprawly Mormon radiate know masturbate flounce cinchonine entrance conjunction,any,using,12.129574897057424,12.13744042328718
randomseq_44,follow fetter primly beats per minute fatality paleobotany drum printer,loader,greying,8.958540111412168,8.958797346140274
randomseq_45,drugget Pernod tack irreverence reprieve right smart heighten blood group dried-up open account specialized rhinopathy wine bucket cellulose xanthate amphibian pitch verbal,regroup,under,11.059676686008258,11.06126457437221
randomseq_46,homeliness effects close out chinchilla cupola beet blight square South Vietnam mongoose correlate endless boggle automation philological fondue oath regimental pyrrhuloxia,binges,peptic,5.480638923341991,5.480638923341991
randomseq_47,receivership erethism proprioceptor button fern Anaximander Dobrich compound outlandishness Intelligence Community self-conscious large crabgrass fill in inch chancrous opera company,resignation,professor,8.666991556504632,8.666991556504632
randomseq_48,Argiope erase bear down condescend Russula razor fish Appalachian tendinous stemless golden weed,reopen,meeting,10.917322330911832,10.916832397224534
randomseq_49,starkly nonresilient Chesterfield recast meteoric amaranth venire facias Red Guard,megawatt,mugging,5.929589143389895,5.929589143389895
randomseq_50,demonization Thatcher philosophy department telecommunication bevy Tuchman riot dismiss zinc deficiency day jessamine Christian holy day low-key survivor lever Surinam toad part,impeded,vivo,6.042632833682381,6.042632833682381
