List,lemma,log_lemma_freq,POS
1k,a,14.741851813691913,"['DET', 'NOUN', 'X']"
1k,able,10.773943748066484,['ADJ']
1k,about,12.16612526842058,"['ADP', 'ADV', 'PRT', 'X']"
1k,above,10.141322652593328,"['ADP', 'ADV', 'ADJ']"
1k,absolute,9.136047767394327,"['ADJ', 'NOUN']"
1k,accept,10.275947259030309,['VERB']
1k,across,10.090879566143188,"['ADP', 'PRT', 'ADV']"
1k,act,11.1776904626589,"['NOUN', 'VERB']"
1k,actual,10.39194486044011,['ADJ']
1k,add,10.777809799587782,['VERB']
1k,address,9.41865450904439,"['NOUN', 'VERB']"
1k,admit,9.38538551979936,['VERB']
1k,advertise,9.47039427731049,['VERB']
1k,afford,8.642768014324304,['VERB']
1k,afraid,8.631771096123673,['ADJ']
1k,after,11.688717416884352,"['ADP', 'ADV', 'PRT']"
1k,afternoon,9.066239028001926,['NOUN']
1k,again,10.960166117831292,['ADV']
1k,against,10.921088609106748,"['ADP', 'ADV']"
1k,age,10.406774834263818,"['NOUN', 'VERB', 'X']"
1k,ago,9.872719018864492,['ADV']
1k,agree,10.612015835134375,['VERB']
1k,ahead,9.092457331319466,['ADV']
1k,air,9.955320701176143,['NOUN']
1k,all,12.550201211800305,"['PRT', 'ADV']"
1k,allow,10.52465526330391,['VERB']
1k,almost,10.323414252585296,['ADV']
1k,alone,9.52222713312478,"['ADV', 'ADJ']"
1k,along,10.06671123363814,"['ADP', 'ADV']"
1k,already,10.414453166503034,['ADV']
1k,alright,9.02857865844074,UNK
1k,also,11.724894816809504,['ADV']
1k,although,10.66391947990167,['ADP']
1k,always,10.702502620019327,['ADV']
1k,among,10.199695674707344,"['ADP', 'X']"
1k,amount,9.885679933886165,"['NOUN', 'VERB']"
1k,and,14.78155517995099,"['CONJ', 'X']"
1k,angry,8.541300266759471,['ADJ']
1k,animal,9.63652272167307,['NOUN']
1k,another,10.98850788768477,['DET']
1k,answer,10.055951095662596,"['NOUN', 'VERB']"
1k,any,12.129574897057424,"['DET', 'ADV']"
1k,apart,9.189525232262262,['ADV']
1k,apparent,9.460398455831276,['ADJ']
1k,appear,10.524359695475658,['VERB']
1k,area,10.973511734352114,['NOUN']
1k,arm,9.899278707762074,"['NOUN', 'VERB']"
1k,around,10.680125336095056,"['ADP', 'ADV']"
1k,arrange,9.736665259189095,['VERB']
1k,arrive,9.764110536067486,['VERB']
1k,art,10.3407419831337,"['NOUN', 'VERB']"
1k,as,13.393168837599656,"['ADP', 'ADV', 'X']"
1k,ashamed,7.110696122978827,['ADJ']
1k,ask,10.971125036904809,['VERB']
1k,at,13.170013844746942,['ADP']
1k,aunt,8.29853954537488,['NOUN']
1k,autumn,8.290041618704489,['NOUN']
1k,aware,9.64452250418184,['ADJ']
1k,away,10.786014654257476,['ADV']
1k,awful,8.177234885510194,"['ADJ', 'ADV']"
1k,baby,9.334767950351235,['NOUN']
1k,back,11.606224532935046,"['ADV', 'NOUN', 'ADJ', 'VERB']"
1k,bad,9.8822639160845,"['ADJ', 'NOUN', 'ADV']"
1k,bag,9.033125752550372,"['NOUN', 'VERB']"
1k,ball,9.156306483483696,['NOUN']
1k,bank,10.266393046225495,['NOUN']
1k,bar,9.347490210123416,"['NOUN', 'VERB']"
1k,base,10.5551875431819,"['NOUN', 'ADJ', 'VERB']"
1k,basic,9.585346272599638,['ADJ']
1k,bath,8.450625947144124,['NOUN']
1k,be,15.368454094859713,"['VERB', 'X', 'PRT']"
1k,beach,8.480529207044645,['NOUN']
1k,bear,9.579072337028126,"['VERB', 'NOUN']"
1k,beat,9.344521553442204,"['VERB', 'NOUN', 'ADJ']"
1k,beauty,9.549166977751137,['NOUN']
1k,because,11.67371690321382,"['ADP', 'ADV']"
1k,become,11.100873712467257,['VERB']
1k,bed,9.818800744368934,['NOUN']
1k,before,11.352557162392111,"['ADP', 'ADV', 'X']"
1k,begin,10.830084987398925,['VERB']
1k,behind,10.0241553122611,"['ADP', 'ADV', 'NOUN']"
1k,believe,10.473449632525694,['VERB']
1k,below,9.561630845638076,"['ADP', 'ADV']"
1k,beneath,8.471986598578159,"['ADP', 'ADV']"
1k,beside,8.967886572127473,['ADP']
1k,best,10.494214335496604,"['ADJ', 'ADV', 'NOUN', 'VERB']"
1k,bet,8.150756470275551,"['VERB', 'NOUN']"
1k,better,10.473364796894678,"['ADJ', 'ADV', 'VERB']"
1k,between,11.416480641701398,"['ADP', 'ADV']"
1k,beyond,9.33917324381915,"['ADP', 'ADV']"
1k,big,10.424154590332977,"['ADJ', 'NOUN']"
1k,bill,9.753768704286186,['NOUN']
1k,billion,8.589513852995864,['NUM']
1k,bird,9.273127360074948,['NOUN']
1k,birth,8.740656691541368,['NOUN']
1k,bit,10.334165463115696,"['NOUN', 'VERB']"
1k,black,10.231279365915784,"['ADJ', 'NOUN', 'VERB']"
1k,blood,9.79929302351827,['NOUN']
1k,blow,8.97221007835365,"['NOUN', 'VERB']"
1k,blue,9.456106101326672,"['ADJ', 'NOUN']"
1k,board,9.867031015525512,"['NOUN', 'VERB']"
1k,boat,8.961237781491876,['NOUN']
1k,body,10.408405761837653,['NOUN']
1k,bone,8.60135049942296,['NOUN']
1k,book,10.582611870732505,['NOUN']
1k,boring,8.254528881939745,"['VERB', 'NOUN']"
1k,born,9.167537249650874,"['VERB', 'ADJ']"
1k,both,11.119349401254478,['DET']
1k,bother,8.37539918579835,['VERB']
1k,bottle,8.757783656334167,['NOUN']
1k,bottom,9.013351778138825,"['NOUN', 'ADJ']"
1k,box,9.40491982616564,"['NOUN', 'VERB']"
1k,boy,9.967682264578125,"['NOUN', 'PRT']"
1k,bread,8.240121298076472,['NOUN']
1k,break,10.262629451038649,"['VERB', 'NOUN']"
1k,breakfast,8.4252971767117,['NOUN']
1k,breath,8.663887570567042,['NOUN']
1k,bright,8.971702399703325,"['ADJ', 'NOUN']"
1k,bring,10.661368547662642,['VERB']
1k,brother,9.482959566750916,['NOUN']
1k,brown,9.206131527202128,"['NOUN', 'ADJ']"
1k,build,10.868034972973572,"['VERB', 'NOUN']"
1k,burn,9.11591979635669,"['VERB', 'NOUN']"
1k,bus,8.86177531100083,['NOUN']
1k,business,10.58037831057655,['NOUN']
1k,busy,8.640648995343156,"['ADJ', 'VERB']"
1k,but,13.010188586105498,"['CONJ', 'ADP', 'ADV']"
1k,buy,10.360880753504652,"['VERB', 'NOUN']"
1k,by,13.154019008888326,"['ADP', 'ADV', 'X']"
1k,cake,8.238008249218403,['NOUN']
1k,call,11.088781997339964,"['VERB', 'NOUN']"
1k,camp,8.601534339849989,"['NOUN', 'VERB']"
1k,can,12.480023373095657,"['VERB', 'NOUN', 'X']"
1k,car,10.457861052229603,['NOUN']
1k,card,9.186457431512853,['NOUN']
1k,care,10.68347734584582,"['NOUN', 'VERB']"
1k,carry,10.411569415631057,['VERB']
1k,case,11.065105938780365,"['NOUN', 'VERB']"
1k,cat,8.646113971483077,['NOUN']
1k,catch,9.658609509075912,"['VERB', 'NOUN']"
1k,cause,10.331626977683165,"['NOUN', 'VERB']"
1k,centre,10.889770656230318,['NOUN']
1k,certain,10.746282432565,"['ADJ', 'X']"
1k,chair,9.167328481382892,['NOUN']
1k,chance,9.679718805828,"['NOUN', 'ADJ', 'VERB']"
1k,change,11.1556932229126,"['NOUN', 'VERB']"
1k,charge,10.10483529147988,"['NOUN', 'VERB']"
1k,cheap,8.895355616996392,"['ADJ', 'ADV']"
1k,check,9.491979220880678,"['VERB', 'NOUN']"
1k,chicken,8.089482474360754,"['NOUN', 'VERB']"
1k,child,11.213912776176064,['NOUN']
1k,chip,8.418697944667139,['NOUN']
1k,choice,9.529448434427817,"['NOUN', 'ADJ']"
1k,choose,9.788581624034771,['VERB']
1k,christmas,9.085457189829492,['NOUN']
1k,church,10.08451660774299,['NOUN']
1k,city,10.240495359999384,['NOUN']
1k,class,10.317615033722944,"['NOUN', 'VERB']"
1k,clean,9.445807672979225,"['ADJ', 'VERB', 'NOUN', 'ADV']"
1k,clear,10.783923101501296,"['ADJ', 'VERB', 'ADV']"
1k,climb,8.996528148090857,"['VERB', 'NOUN']"
1k,clock,9.012011377036412,['NOUN']
1k,close,10.399554805326574,"['ADV', 'ADJ', 'VERB', 'NOUN']"
1k,closed,9.457044187699406,['VERB']
1k,clothes,9.176576741823371,['NOUN']
1k,club,9.933628709448117,['NOUN']
1k,coat,8.62245370207373,"['NOUN', 'VERB']"
1k,coffee,8.812099108957337,['NOUN']
